Relatório de palavras-chave da rede de pesquisa
1 de abril de 2026 - 30 de abril de 2026
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Grupo de anúncios,Status,Motivos do status,Conversões,Código da moeda,Custo / conv.,URL final,Cliques,Impr.,CTR,CPC méd.,Custo,Taxa de conv.
Ativado,"""motel com café da manhã""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel com estacionamento privativo Toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"42,67",BRL,"2,45",,182,996,"18,27%","0,57","104,39","23,44%"
Ativado,"""motel com tv""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel com jardim de inverno""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel perto de mim Toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel com hidro""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel 24 horas""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel para comemorações],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel com banheira""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel com banheira SPA Toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel em Toledo PR],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"13,17",BRL,"2,54",,44,246,"17,89%","0,76","33,44","29,92%"
Ativado,[motel promoção Dia dos Namorados Toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel econômico Toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel barato Toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"4,17",BRL,"3,22",,18,78,"23,08%","0,74","13,40","23,15%"
Ativado,[motel],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"1,00",BRL,"5,81",,38,231,"16,45%","0,15","5,81","2,63%"
Ativado,[motel com café da manhã],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel com banheira SPA Toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel com café da manhã Toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""pernoite em toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"3,00",BRL,"1,63",,5,72,"6,94%","0,98","4,89","60,00%"
Ativado,[motel sem necessidade de reserva Toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel suíte mais barata],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel suíte""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"4,00",BRL,"2,75",,22,84,"26,19%","0,50","10,98","18,18%"
Ativado,[motel com banheira],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel com decoração personalizada Toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel reserva WhatsApp Toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel fim de semana Toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel para comemorações""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel com estacionamento privado""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel promoção Dia dos Namorados Toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel melhor de toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,3,30,"10,00%","0,53","1,58","0,00%"
Ativado,"""motel econômico Toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel com preço justo Toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motéis em Toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,3,9,"33,33%","0,38","1,13","0,00%"
Ativado,"""suítes motel toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel com jardim de inverno],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel com suíte para casal],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel para datas especiais],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel pernoite Toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel perto de mim Toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,3,11,"27,27%","0,15","0,44","0,00%"
Ativado,[motel feriado],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel 24 horas],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel barato Toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"3,00",BRL,"3,02",,11,67,"16,42%","0,82","9,06","27,27%"
Ativado,[motéis em Toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"13,00",BRL,"4,62",,83,679,"12,22%","0,72","60,03","15,66%"
Ativado,"""motel em Toledo PR""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"4,33",BRL,"3,02",,18,83,"21,69%","0,73","13,10","24,07%"
Ativado,"""motel em toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"3,17",BRL,"5,48",,31,97,"31,96%","0,56","17,36","10,22%"
Ativado,"""motel diária 12 horas Toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel discreto Toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel com tv],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel suites],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel suíte barata""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""motel com suíte para casal""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel em toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"2,50",BRL,"9,48",,31,257,"12,06%","0,76","23,71","8,06%"
Ativado,"""motel para casal Toledo""",Correspondência de frase,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel com hidro],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,1,"0,00%",0,"0,00","0,00%"
Ativado,[motel diária 12 horas Toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel fim de semana Toledo],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel toledo promoções],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada; raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,[motel com frigobar],Correspondência exata,MOTEL - FUNDO DE FUNIL,Não qualificado,campanha pausada,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
 --,,"Total: Todas as palavras-chave, exceto as removidas", --, --,,"94,00",BRL,"3,24",,498,2.967,"16,78%","0,61","304,24","18,88%"
,,Total: Palavras-chave na sua campanha,,,,"94,00",BRL,"3,24",,498,2.967,"16,78%","0,61","304,24","18,88%"
,,Total: Suas palavras-chave,,,,"94,00",BRL,"3,24",,498,2.967,"16,78%","0,61","304,24","18,88%"
,,Total: Correspondências expandidas da AI Max,,,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
,,Total: Correspondências de páginas de destino da AI Max,,,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
,,Total: Inclusões de URL na sua campanha,,,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
,,Total: Campanha,,,,"94,00",BRL,"3,24",,498,2.967,"16,78%","0,61","304,24","18,88%"
